Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,1,MCTS,10,Random,2,Random,2,,,47,1,7,1,5,18,16,7,,0,1,2,11,7,1,1,0,2,12,45,76,17,11,9.680851063829786,100.0,10.832142857142857
MCTS,2,Random,6,MCTS,10,Random,2,,,69,2,4,2,14,15,16,8,,0,1,3,15,4,1,0,1,1,8,70,106,26,11,9.385714285714286,100.0,10.109375
MCTS,3,Random,5,Random,2,MCTS,10,,,65,3,5,3,11,12,8,22,,0,0,5,15,5,0,2,0,1,9,70,101,25,13,9.030303030303031,100.0,10.176151761517616
