Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
Random,4,Random,2,Random,2,Random,2,Random,10,35,,,4,8,5,4,9,20
Random,2,Random,4,Random,10,Random,5,Random,8,73,2,7,3,9,19,18,7,16
Random,2,Random,7,Random,10,Random,7,Random,9,90,2,7,1,9,8,13,11,18
Random,1,Random,10,Random,8,Random,9,Random,7,105,1,5,4,7,14,16,15,20
Random,1,Random,10,Random,4,Random,7,Random,4,101,1,5,3,9,12,15,8,13
Random,1,Random,10,Random,3,Random,5,Random,5,73,1,4,3,9,15,9,10,10
Random,4,Random,2,Random,4,Random,2,Random,10,53,4,4,4,10,8,19,16,17
Random,3,Random,2,Random,2,Random,11,Random,3,32,3,4,3,12,7,12,18,14
Random,2,Random,5,Random,10,Random,3,Random,7,97,4,6,2,7,7,15,11,13
Random,3,Random,8,Random,9,Random,10,Random,9,103,2,5,2,13,14,12,16,12
Random,3,Random,3,Random,6,Random,10,Random,2,44,3,3,3,10,23,14,18,4
Random,2,Random,7,Random,10,Random,2,Random,7,82,2,6,4,6,19,20,5,12
Random,2,Random,7,Random,10,Random,4,Random,4,78,2,6,2,9,12,15,11,4
Random,4,Random,2,Random,3,Random,3,Random,10,52,4,4,4,6,9,14,6,20
Random,1,Random,10,Random,5,Random,5,Random,3,74,2,3,1,8,17,8,10,10
Random,2,Random,5,Random,11,Random,3,Random,5,97,4,4,2,10,9,11,7,13
Random,3,Random,5,Random,4,Random,10,Random,6,81,3,5,2,6,7,6,17,11
Random,2,Random,2,Random,10,Random,2,Random,5,39,2,4,2,9,9,23,9,19
Random,2,Random,2,Random,10,Random,3,Random,3,27,2,3,2,6,5,20,11,11
Random,1,Random,10,Random,4,Random,3,Random,3,46,1,4,1,8,19,12,9,15
Random,3,Random,8,Random,5,Random,10,Random,9,103,4,5,1,8,19,10,12,13
Random,3,Random,5,Random,6,Random,10,Random,7,55,4,4,2,10,11,15,17,15
Random,3,Random,2,Random,3,Random,10,Random,2,36,3,3,3,10,11,5,17,7
Random,2,Random,2,Random,10,Random,3,Random,7,50,2,4,2,6,5,13,17,17
