Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,3,Random,2,Random,7,MCTS,10,,,67,2,6,3,12,6,13,15,,1,3,2,15,3,1,0,1,0,5,79,97,32,42,9.397058823529411,100.0,13.238425925925926
MCTS,1,MCTS,10,Random,3,Random,5,,,58,,,1,10,23,11,16,,0,4,0,12,1,0,1,0,0,2,57,96,22,32,10.155172413793103,100.0,14.753846153846155
MCTS,3,Random,2,Random,3,MCTS,10,,,68,,,3,7,12,8,18,,0,1,4,15,0,0,0,0,2,2,87,112,31,29,9.579710144927537,100.0,11.868778280542987
MCTS,3,Random,5,Random,3,MCTS,10,,,42,1,3,3,8,15,16,23,,1,3,1,13,1,0,0,0,1,2,50,64,21,38,10.093023255813954,100.0,15.498257839721255
MCTS,2,Random,4,MCTS,10,Random,3,,,56,1,3,2,8,9,17,9,,0,2,1,15,1,0,0,0,3,4,59,93,25,19,9.491228070175438,100.0,11.490963855421686
MCTS,1,MCTS,10,Random,3,Random,2,,,64,,,1,9,19,11,4,,1,2,3,15,1,0,2,0,1,4,67,100,34,40,9.609375,100.0,10.621428571428572
MCTS,2,Random,2,MCTS,10,Random,8,,,71,3,3,3,8,8,22,9,,1,3,4,15,1,0,0,0,0,1,85,115,39,54,9.708333333333334,100.0,12.41025641025641
MCTS,2,Random,2,MCTS,10,Random,2,,,70,,,2,10,12,21,15,,0,2,2,15,1,0,1,0,2,4,82,103,34,31,9.408450704225352,100.0,10.724537037037036
Random,2,MCTS,5,Random,10,Random,5,,,84,2,5,3,8,18,19,14,,0,0,5,15,0,0,0,0,0,0,105,151,41,20,9.821428571428571,100.0,15.352720450281426
MCTS,1,MCTS,10,Random,3,Random,5,,,61,,,1,10,16,9,17,,1,1,5,15,2,0,0,2,1,5,81,96,26,23,9.60655737704918,100.0,10.644908616187989
MCTS,1,MCTS,10,Random,6,Random,4,,,70,,,1,11,23,13,7,,0,1,5,15,0,0,0,0,1,1,91,120,42,30,9.871428571428572,100.0,11.527233115468409
MCTS,3,Random,3,Random,5,MCTS,10,,,56,2,3,3,9,5,16,22,,1,3,2,14,1,1,0,0,0,2,72,80,27,28,9.456140350877194,100.0,10.600522193211487
MCTS,1,MCTS,10,Random,4,Random,4,,,46,,,1,6,14,16,19,,1,3,2,15,0,0,0,0,0,0,54,79,22,26,10.195652173913043,100.0,13.714285714285714
MCTS,1,MCTS,10,Random,9,Random,2,,,96,2,5,1,12,17,15,15,,2,2,4,15,0,0,0,0,0,0,103,172,41,67,10.28125,100.0,14.721864951768488
MCTS,3,Random,8,Random,5,MCTS,10,,,125,1,4,3,11,11,7,18,,1,1,4,15,3,1,2,0,2,9,147,212,67,84,9.777777777777779,100.0,10.046094750320103
MCTS,3,Random,3,Random,2,MCTS,10,,,38,,,3,10,3,14,17,,1,2,4,15,0,1,0,0,0,1,46,57,19,10,9.051282051282051,100.0,10.046610169491526
MCTS,3,Random,7,Random,8,MCTS,10,,,85,1,7,1,9,14,13,18,,4,2,5,15,1,0,0,0,1,2,99,148,43,115,10.837209302325581,100.0,17.202283849918434
MCTS,3,Random,3,Random,2,MCTS,10,,,44,,,3,8,11,10,20,,0,3,2,15,0,0,0,0,0,0,60,69,23,26,9.8,100.0,13.061433447098976
MCTS,1,MCTS,10,Random,3,Random,5,,,55,3,4,1,6,18,16,6,,0,1,5,15,0,0,0,0,1,1,77,96,26,16,9.727272727272727,100.0,12.78917378917379
Random,2,MCTS,8,Random,10,Random,6,,,68,3,5,1,10,22,16,14,,0,1,4,15,0,0,0,0,0,0,96,121,38,20,9.985294117647058,100.0,15.481561822125814
