Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
Random,3,Random,2,Random,2,Random,11,,,62,3,3,3,9,13,9,21
Random,2,Random,3,Random,11,Random,5,,,64,3,3,2,7,6,18,13
Random,2,Random,9,Random,10,Random,2,,,71,2,3,1,8,15,19,13
Random,2,Random,2,Random,10,Random,8,,,124,3,6,2,10,2,20,16
Random,3,Random,5,Random,2,Random,10,,,78,3,5,3,7,15,6,17
Random,3,Random,5,Random,2,Random,10,,,114,3,3,3,7,12,4,20
Random,3,Random,2,Random,6,Random,11,,,79,3,5,3,10,7,18,17
Random,1,Random,10,Random,7,Random,5,,,83,1,4,1,9,15,14,13
Random,1,Random,10,Random,2,Random,2,,,51,,,1,8,24,9,8
Random,1,Random,10,Random,6,Random,7,,,73,3,4,3,7,16,16,13
Random,2,Random,7,Random,10,Random,2,,,65,2,3,1,7,15,23,13
Random,3,Random,2,Random,5,Random,10,,,93,3,3,2,11,8,7,14
Random,2,Random,5,Random,10,Random,4,,,109,2,5,3,9,6,14,19
Random,1,Random,10,Random,9,Random,5,,,104,2,4,1,13,14,11,9
Random,3,Random,7,Random,5,Random,10,,,80,1,4,3,8,6,18,22
Random,2,Random,3,Random,10,Random,6,,,74,2,4,3,9,11,24,13
Random,3,Random,2,Random,2,Random,10,,,86,3,4,3,5,8,3,17
Random,2,Random,4,Random,11,Random,3,,,76,2,3,2,11,9,17,15
Random,1,Random,10,Random,6,Random,9,,,97,1,3,3,9,20,11,8
Random,1,Random,10,Random,5,Random,4,,,71,1,3,1,10,12,15,10
Random,1,Random,10,Random,2,Random,5,,,56,,,1,9,17,12,13
Random,1,Random,10,Random,4,Random,8,,,48,1,3,3,10,18,14,10
